Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,800.619995,811.440002,796.890015,808.010010,808.010010,1959000
2017-01-04,809.890015,813.429993,804.109985,807.770020,807.770020,1515300
2017-01-05,807.500000,813.739990,805.919983,813.020020,813.020020,1340500
2017-01-06,814.989990,828.960022,811.500000,825.210022,825.210022,2017100
2017-01-09,826.369995,830.429993,821.619995,827.179993,827.179993,1406800
2017-01-10,827.070007,829.409973,823.140015,826.010010,826.010010,1197400
2017-01-11,826.619995,829.900024,821.469971,829.859985,829.859985,1325400
2017-01-12,828.380005,830.380005,821.010010,829.530029,829.530029,1349500
2017-01-13,831.000000,834.650024,829.520020,830.940002,830.940002,1290200
2017-01-17,830.000000,830.179993,823.200012,827.460022,827.460022,1440900
2017-01-18,829.799988,829.809998,824.080017,829.020020,829.020020,1027700
2017-01-19,829.000000,833.000000,823.960022,824.369995,824.369995,1070500
2017-01-20,829.090027,829.239990,824.599976,828.169983,828.169983,1306200
2017-01-23,831.609985,845.539978,828.700012,844.429993,844.429993,2457400
2017-01-24,846.979980,851.520020,842.280029,849.530029,849.530029,1688400
2017-01-25,853.549988,858.789978,849.739990,858.450012,858.450012,1655400
2017-01-26,859.049988,861.000000,850.520020,856.979980,856.979980,3493300
2017-01-27,859.000000,867.000000,841.900024,845.030029,845.030029,3752500
2017-01-30,837.059998,837.229980,821.030029,823.830017,823.830017,3516900
2017-01-31,819.500000,823.070007,813.400024,820.190002,820.190002,2020200
2017-02-01,824.000000,824.000000,812.250000,815.239990,815.239990,2251000
2017-02-02,815.000000,824.559998,812.049988,818.260010,818.260010,1689200
2017-02-03,823.130005,826.130005,819.349976,820.130005,820.130005,1528100
2017-02-06,820.919983,822.390015,814.289978,821.619995,821.619995,1350900
2017-02-07,825.500000,831.919983,823.289978,829.229980,829.229980,1666600
2017-02-08,830.530029,834.250000,825.109985,829.880005,829.880005,1302200
2017-02-09,831.729980,831.979980,826.500000,830.059998,830.059998,1194200
2017-02-10,832.950012,837.150024,830.510010,834.849976,834.849976,1415100
2017-02-13,837.700012,841.739990,836.250000,838.960022,838.960022,1295700
2017-02-14,839.770020,842.000000,835.830017,840.030029,840.030029,1363300
2017-02-15,838.809998,841.770020,836.219971,837.320007,837.320007,1357200
2017-02-16,838.500000,842.690002,837.260010,842.169983,842.169983,1005100
2017-02-17,841.309998,846.940002,839.780029,846.549988,846.549988,1461200
2017-02-21,847.989990,852.200012,846.549988,849.270020,849.270020,1260300
2017-02-22,848.000000,853.789978,846.710022,851.359985,851.359985,1224400
2017-02-23,851.080017,852.619995,842.500000,851.000000,851.000000,1386700
2017-02-24,847.650024,848.359985,842.960022,847.809998,847.809998,1346200
2017-02-27,844.950012,850.669983,843.010010,849.669983,849.669983,1010300
2017-02-28,847.349976,848.830017,841.440002,844.929993,844.929993,1383100
2017-03-01,851.380005,858.000000,849.020020,856.750000,856.750000,1818700
2017-03-02,856.309998,856.489990,848.719971,849.849976,849.849976,1250900
2017-03-03,848.940002,850.820007,844.710022,849.080017,849.080017,1005000
2017-03-06,846.859985,848.940002,841.169983,847.270020,847.270020,1047900
2017-03-07,847.260010,853.330017,845.520020,851.150024,851.150024,1038700
2017-03-08,853.119995,856.929993,851.250000,853.640015,853.640015,1028800
2017-03-09,853.690002,860.710022,852.669983,857.840027,857.840027,1347700
2017-03-10,862.700012,864.229980,857.609985,861.409973,861.409973,1336600
2017-03-13,860.830017,867.130005,860.820007,864.580017,864.580017,1166600
2017-03-14,863.750000,867.580017,860.130005,865.909973,865.909973,1061700
2017-03-15,867.940002,869.880005,861.299988,868.390015,868.390015,1332900
2017-03-16,870.530029,872.710022,867.520020,870.000000,870.000000,1104500
2017-03-17,873.679993,874.419983,868.369995,872.369995,872.369995,1868300
2017-03-20,869.479980,870.340027,864.669983,867.909973,867.909973,1542200
2017-03-21,870.059998,873.469971,847.690002,850.140015,850.140015,2538000
2017-03-22,849.479980,855.349976,847.000000,849.799988,849.799988,1366700
2017-03-23,841.390015,841.690002,833.000000,839.650024,839.650024,3287700
2017-03-24,842.000000,844.000000,829.099976,835.140015,835.140015,2105700
2017-03-27,828.090027,841.380005,824.299988,838.510010,838.510010,1934600
2017-03-28,839.690002,845.400024,832.270020,840.630005,840.630005,1519200
2017-03-29,842.750000,851.590027,841.380005,849.869995,849.869995,1457300
2017-03-30,851.979980,852.000000,846.770020,849.479980,849.479980,949400
2017-03-31,846.830017,849.559998,845.239990,847.799988,847.799988,1441000
2017-04-03,848.750000,859.000000,847.530029,856.750000,856.750000,1969400
2017-04-04,848.000000,853.000000,847.510010,852.570007,852.570007,1348500
2017-04-05,854.710022,860.590027,847.520020,848.909973,848.909973,1855200
2017-04-06,849.500000,853.590027,844.000000,845.099976,845.099976,1533600
2017-04-07,845.000000,845.880005,837.299988,842.099976,842.099976,1111600
2017-04-10,841.539978,846.739990,840.789978,841.700012,841.700012,1046200
2017-04-11,841.700012,844.630005,834.599976,839.880005,839.880005,974300
2017-04-12,838.460022,843.719971,837.590027,841.460022,841.460022,1135800
2017-04-13,841.039978,843.729980,837.849976,840.179993,840.179993,1073700
2017-04-17,841.380005,855.640015,841.030029,855.130005,855.130005,1049100
2017-04-18,852.539978,857.390015,851.250000,853.989990,853.989990,936200
2017-04-19,857.390015,860.200012,853.530029,856.510010,856.510010,1080300
2017-04-20,859.739990,863.929993,857.500000,860.080017,860.080017,1188800
2017-04-21,860.619995,862.440002,857.729980,858.950012,858.950012,1172900
2017-04-24,868.440002,879.960022,866.109985,878.929993,878.929993,1696500
2017-04-25,882.260010,892.250000,879.280029,888.840027,888.840027,2038000
2017-04-26,891.390015,892.989990,885.150024,889.140015,889.140015,1323300
2017-04-27,890.000000,893.380005,887.179993,891.440002,891.440002,2342300
2017-04-28,929.000000,935.900024,923.219971,924.520020,924.520020,3845900
2017-05-01,924.150024,935.820007,920.799988,932.820007,932.820007,2327800
2017-05-02,933.270020,942.989990,931.000000,937.090027,937.090027,1751300
2017-05-03,936.049988,950.200012,935.210022,948.450012,948.450012,1824800
2017-05-04,950.289978,959.140015,947.369995,954.719971,954.719971,1937600
2017-05-05,956.719971,958.440002,948.099976,950.280029,950.280029,1615500
2017-05-08,947.450012,960.989990,947.400024,958.690002,958.690002,1876700
2017-05-09,961.330017,962.200012,954.400024,956.710022,956.710022,1687900
2017-05-10,956.219971,956.710022,949.840027,954.840027,954.840027,1146000
2017-05-11,951.289978,957.989990,948.609985,955.890015,955.890015,1031100
2017-05-12,957.849976,957.979980,952.059998,955.140015,955.140015,1214900
2017-05-15,955.289978,962.700012,952.820007,959.219971,959.219971,1337700
2017-05-16,963.549988,965.900024,960.349976,964.609985,964.609985,1101500
2017-05-17,959.700012,960.989990,940.059998,942.169983,942.169983,2449100
2017-05-18,943.200012,954.179993,941.270020,950.500000,950.500000,1800500
2017-05-19,952.820007,959.559998,952.000000,954.650024,954.650024,1344200
